claim_id,is_fraud,sequence_length,total_duration,event_sequence
F_1,1,3,7,"['First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_2,1,3,10,"['First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_3,1,3,13,"['First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_4,1,3,14,"['First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_5,1,6,16,"['First Notice of Loss', 'Police Report Filed', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_6,1,6,16,"['First Notice of Loss', 'Damage Documentation', 'Repair Authorization', 'Final Assessment', 'Final Assessment', 'Payment Processing']"
F_7,1,6,22,"['First Notice of Loss', 'Police Report Filed', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_8,1,6,15,"['First Notice of Loss', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_9,1,6,14,"['First Notice of Loss', 'Police Report Filed', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_10,1,6,20,"['First Notice of Loss', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_11,1,7,23,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Final Assessment', 'Final Assessment', 'Payment Processing']"
F_12,1,6,23,"['First Notice of Loss', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_13,1,8,21,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Quality Check', 'Final Assessment', 'Final Assessment', 'Payment Processing']"
F_14,1,6,25,"['First Notice of Loss', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_15,1,6,13,"['First Notice of Loss', 'Police Report Filed', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_16,1,8,24,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Quality Check', 'Final Assessment', 'Final Assessment', 'Payment Processing']"
F_17,1,6,26,"['First Notice of Loss', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_18,1,3,7,"['First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_19,1,7,21,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_20,1,8,29,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Quality Check', 'Final Assessment', 'Final Assessment', 'Payment Processing']"
F_21,1,6,17,"['First Notice of Loss', 'Police Report Filed', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_22,1,7,19,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_23,1,7,26,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_24,1,7,30,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_25,1,3,5,"['First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_26,1,7,22,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_27,1,3,3,"['First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_28,1,7,19,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_29,1,9,30,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Quality Check', 'Final Assessment', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_30,1,4,19,"['First Notice of Loss', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_31,1,5,17,"['First Notice of Loss', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_32,1,7,32,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_33,1,9,24,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Quality Check', 'Final Assessment', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_34,1,7,19,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_35,1,10,34,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_36,1,7,26,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_37,1,7,24,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_38,1,5,24,"['First Notice of Loss', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_39,1,7,22,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
F_40,1,7,16,"['First Notice of Loss', 'Initial Assessment', 'Final Assessment', 'Expert Consultation', 'Expert Consultation', 'Expert Consultation', 'Payment Processing']"
F_41,1,11,28,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_42,1,5,18,"['First Notice of Loss', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_43,1,12,46,"['First Notice of Loss', 'Witness Statement', 'Damage Documentation', 'Repair Authorization', 'Witness Statement', 'Expert Consultation', 'Quality Check', 'Final Assessment', 'Quality Check', 'Final Assessment', 'Parts Ordered', 'Payment Processing']"
F_44,1,5,12,"['First Notice of Loss', 'Damage Documentation', 'First Notice of Loss', 'Payment Processing', 'Claim Closed']"
F_45,1,7,28,"['First Notice of Loss', 'Police Report Filed', 'Initial Assessment', 'Witness Statement', 'Witness Statement', 'Witness Statement', 'Payment Processing']"
